,Family,Pop,Tree,State,Region,Date,lat,lon,Elevation,BudBreak2020_Plasticity
1,AB_05,AB,5,TN,E,9002016,35.55297,-83.49438,1812,0.182873141
2,AB_08,AB,8,TN,E,9002016,35.55212,-83.49259,1785,0.213981361
3,AB_12,AB,12,TN,E,9002016,35.5389,-83.49463,1750,0.195404397
4,AB_16,AB,16,TN,E,9002016,35.53882,-83.49534,1738,0.193931902
5,AB_18,AB,18,TN,E,9002016,35.53945,-83.49375,1769,0.211527897
6,ALB_01,ALB,1,ME,C,11112017,44.3067,-70.84019,455,0.184046055
7,ALB_02,ALB,2,ME,C,11112017,44.30564,-70.84081,524,0.244077129
8,ALB_03,ALB,3,ME,C,11112017,44.30359,-70.84096,523,0.213120281
9,ALB_05,ALB,5,ME,C,11112017,44.30182,-70.83729,573,0.195103264
10,ALB_06,ALB,6,ME,C,11112017,44.30061,-70.83641,589,0.201622879
11,APP_01,APP,1,VT,C,9022017,44.20933,-72.9295,743,0.20756002
12,APP_02,APP,2,VT,C,9022017,44.21172,-72.92999,780,0.218616718
13,APP_03,APP,3,VT,C,9022017,44.22097,-72.92639,896,0.189277019
14,APP_04,APP,4,VT,C,9292017,44.2114,-72.93122,741,0.190058955
15,APP_05,APP,5,VT,C,9272017,44.21034,-72.93051,733,0.186841408
16,APP_06,APP,6,VT,C,9272017,44.21235,-72.93502,658,0.240746316
17,ASC_01,ASC,1,VT,C,10162017,43.43787,-72.45218,883,0.202618315
18,ASC_02,ASC,2,VT,C,10162017,43.43983,-72.45328,847,0.210952751
19,ASC_03,ASC,3,VT,C,10162017,43.44192,-72.45589,861,0.217824784
20,ASC_04,ASC,4,VT,C,10162017,43.4426,-72.45713,870,0.214591534
21,ASC_05,ASC,5,VT,C,10162017,43.44376,-72.45867,879,0.189209248
22,ASC_06,ASC,6,VT,C,10162017,43.44379,-72.45434,967,0.241271737
23,B_02,B,2,VT,C,2192016,44.10929,-73.0714,311,0.181447351
24,B_03,B,3,VT,C,2192016,44.10897,-73.0712,325,0.188913597
25,B_04,B,4,VT,C,2192016,44.10908,-73.0713,328,0.197424173
26,B_05,B,5,VT,C,2192016,44.10836,-73.0715,310,0.213232935
27,B_06,B,6,VT,C,2192016,44.10889,-73.0714,321,0.210252346
28,BAL_01,BAL,1,NY,C,8302017,44.1528,-73.64591,570,0.211097241
29,BAL_02,BAL,2,NY,C,8302017,44.1517,-73.65127,620,0.208371345
30,BAL_03,BAL,3,NY,C,8302017,44.15337,-73.65371,650,0.210231271
