plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,DOY,cGDD
AB_05_VT_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,D,4,41,3,4,13,141,554.55
AB_05_MD_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,B,4,41,3,4,13,143,683.5
AB_05_VT_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,E,4,30,3,4,2,146,591.2
AB_05_MD_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,E,6,68,5,6,12,140,669.6
AB_05_NC_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,E,6,68,5,6,12,118,725.5
AB_05_VT_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,B,3,2,1,3,2,146,591.2
AB_05_MD_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,A,5,69,5,5,13,139,665.65
AB_05_VT_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,A,2,66,5,2,10,143,568.5
AB_05_NC_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,C,6,5,1,6,5,122,750.9
AB_05_MD_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,D,6,5,1,6,5,138,662.4
AB_05_VT_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,C,6,68,5,6,12,136,523.95
AB_05_NC_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,A,4,41,3,4,13,122,750.9
AB_05_MD_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,C,4,16,2,4,2,135,642.5
AB_08_VT_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,A,6,14,1,6,14,139,538.3
AB_08_VT_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,B,2,39,3,2,11,143,568.5
AB_08_MD_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,B,5,59,5,5,3,137,657.5
AB_08_MD_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,D,2,57,5,2,1,138,662.4
AB_08_VT_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,D,3,12,1,3,12,141,554.55
AB_08_VT_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,C,4,19,2,4,5,139,538.3
AB_08_MD_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,A,2,25,2,2,11,NA,NA
AB_08_MD_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,C,3,33,3,3,5,141,674.8
AB_08_NC_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,C,2,57,5,2,1,100,595.95
