plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
AB_05_MD_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,E,6,68,5,6,12,267
AB_05_MD_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,B,4,41,3,4,13,274
AB_05_NC_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,A,4,41,3,4,13,252
AB_05_NC_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,C,6,5,1,6,5,266
AB_05_VT_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,A,2,66,5,2,10,298
AB_05_VT_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,D,4,41,3,4,13,284
AB_05_VT_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,B,3,2,1,3,2,284
AB_05_VT_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,E,4,30,3,4,2,267
AB_05_MD_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,A,5,69,5,5,13,242
AB_05_MD_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,C,4,16,2,4,2,221
AB_05_MD_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,D,6,5,1,6,5,260
AB_05_NC_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,E,6,68,5,6,12,252
AB_08_MD_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,A,2,25,2,2,11,267
AB_08_MD_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,B,5,59,5,5,3,265
AB_08_MD_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,D,2,57,5,2,1,256
AB_08_MD_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,E,4,33,3,4,5,267
AB_08_MD_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,C,3,33,3,3,5,274
AB_08_VT_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,A,6,14,1,6,14,291
AB_08_VT_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,B,2,39,3,2,11,242
AB_08_VT_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,C,4,19,2,4,5,249
AB_08_VT_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,E,3,19,2,3,5,274
AB_08_VT_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,D,3,12,1,3,12,288
AB_08_NC_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,D,2,39,3,2,11,260
AB_08_NC_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,C,2,57,5,2,1,288
AB_08_NC_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,B,3,47,4,3,5,266
AB_08_NC_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,E,4,47,4,4,5,280
AB_08_NC_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,A,3,12,1,3,12,252
AB_12_MD_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,A,4,48,4,4,6,260
AB_12_MD_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,C,4,17,2,4,3,274
AB_12_NC_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,B,4,17,2,4,3,280
AB_12_VT_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,B,4,20,2,4,6,234
AB_12_VT_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,C,2,60,5,2,4,288
AB_12_VT_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,D,2,3,1,2,3,294
AB_12_VT_E,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,E,4,31,3,4,3,288
