"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth"
"1","AB_05_MD_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_A","Maryland","A",5,69,5,5,13,45,30,15
"2","AB_05_MD_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_B","Maryland","B",4,41,3,4,13,46.5,32,14.5
"3","AB_05_MD_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_E","Maryland","E",6,68,5,6,12,55.5,35.5,20
"4","AB_05_NC_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_A","North_Carolina","A",4,41,3,4,13,57,29.5,27.5
"5","AB_05_NC_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_C","North_Carolina","C",6,5,1,6,5,42,31,11
"6","AB_05_NC_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_E","North_Carolina","E",6,68,5,6,12,36.5,22.5,14
"7","AB_05_VT_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_A","Vermont","A",2,66,5,2,10,32,26,6
"8","AB_05_VT_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_B","Vermont","B",3,2,1,3,2,38,22.5,15.5
"9","AB_05_VT_D","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_D","Vermont","D",4,41,3,4,13,44,27,17
"10","AB_05_VT_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_E","Vermont","E",4,30,3,4,2,43.5,27,16.5
"11","AB_08_MD_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_A","Maryland","A",2,25,2,2,11,20.6,25,-4.4
"12","AB_08_MD_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_B","Maryland","B",5,59,5,5,3,44,28,16
"13","AB_08_MD_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_C","Maryland","C",3,33,3,3,5,49.5,32.5,17
"14","AB_08_MD_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_D","Maryland","D",2,57,5,2,1,27,16,11
"15","AB_08_MD_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_E","Maryland","E",4,33,3,4,5,50.5,33,17.5
"16","AB_08_NC_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_A","North_Carolina","A",3,12,1,3,12,38,27.5,10.5
"17","AB_08_NC_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_B","North_Carolina","B",3,47,4,3,5,34,34.5,-0.5
"18","AB_08_NC_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_C","North_Carolina","C",2,57,5,2,1,52.5,34.5,18
"19","AB_08_NC_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_D","North_Carolina","D",2,39,3,2,11,34,25.5,8.5
"20","AB_08_NC_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_E","North_Carolina","E",4,47,4,4,5,37,26,11
"21","AB_08_VT_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_A","Vermont","A",6,14,1,6,14,35,21,14
"22","AB_08_VT_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_B","Vermont","B",2,39,3,2,11,37,16.5,20.5
"23","AB_08_VT_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_C","Vermont","C",4,19,2,4,5,63,40.5,22.5
"24","AB_08_VT_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_D","Vermont","D",3,12,1,3,12,48,32,16
"25","AB_08_VT_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_E","Vermont","E",3,19,2,3,5,54,39.5,14.5
"26","AB_12_MD_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_A","Maryland","A",4,48,4,4,6,59.5,30,29.5
"27","AB_12_MD_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_B","Maryland","B",6,68,5,6,12,47.5,29,18.5
"28","AB_12_MD_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_C","Maryland","C",4,17,2,4,3,49,30.5,18.5
"29","AB_12_MD_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_D","Maryland","D",5,17,2,5,3,55.5,33,22.5
"30","AB_12_NC_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_A","North_Carolina","A",2,3,1,2,3,16,17,-1
"31","AB_12_NC_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_B","North_Carolina","B",4,17,2,4,3,53.5,34.5,19
"32","AB_12_NC_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_C","North_Carolina","C",5,17,2,5,3,47,30,17
"33","AB_12_NC_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_D","North_Carolina","D",4,48,4,4,6,35,25.5,9.5
"34","AB_12_NC_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_E","North_Carolina","E",2,60,5,2,4,45.5,32,13.5
"35","AB_12_VT_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_A","Vermont","A",5,31,3,5,3,45.5,25.5,20
"36","AB_12_VT_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_B","Vermont","B",4,20,2,4,6,66,35.5,30.5
"37","AB_12_VT_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_C","Vermont","C",2,60,5,2,4,42.5,28,14.5
"38","AB_12_VT_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_D","Vermont","D",2,3,1,2,3,44.5,32.5,12
"39","AB_12_VT_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_E","Vermont","E",4,31,3,4,3,43.5,28.5,15
"40","AB_16_MD_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_A","Maryland","A",6,12,1,6,12,35.2,19,16.2
"41","AB_16_MD_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_B","Maryland","B",2,26,2,2,12,43.5,26.5,17
