"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"1","AB_05_MD_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_A","Maryland","A",5,69,5,5,13,22,30,8
"2","AB_05_MD_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_B","Maryland","B",4,43,3,4,13,15.5,32,16.5
"3","AB_05_MD_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_C","Maryland","C",4,16,2,4,2,9,11.5,2.5
"4","AB_05_MD_D","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_D","Maryland","D",6,5,1,6,5,10,17.5,7.5
"5","AB_05_MD_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"MD_E","Maryland","E",6,68,5,6,12,9.5,35.5,26
"6","AB_05_NC_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_A","North_Carolina","A",4,41,3,4,13,12,29.5,17.5
"7","AB_05_NC_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_C","North_Carolina","C",6,5,1,6,5,18.5,31,12.5
"8","AB_05_NC_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"NC_E","North_Carolina","E",6,68,5,6,12,10,22.5,12.5
"9","AB_05_VT_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_A","Vermont","A",2,66,5,2,10,10,26,16
"10","AB_05_VT_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_B","Vermont","B",3,2,1,3,2,13.5,22.5,9
"11","AB_05_VT_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_C","Vermont","C",6,68,5,6,12,1,2.5,1.5
"12","AB_05_VT_D","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_D","Vermont","D",4,41,3,4,13,11,27,16
"13","AB_05_VT_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"VT_E","Vermont","E",4,30,3,4,2,17.5,27,9.5
"14","AB_08_MD_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_A","Maryland","A",2,25,2,2,11,10.5,25,14.5
"15","AB_08_MD_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_B","Maryland","B",5,61,5,5,3,13.5,28,14.5
"16","AB_08_MD_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_C","Maryland","C",3,33,3,3,5,18.5,32.5,14
"17","AB_08_MD_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_D","Maryland","D",2,57,5,2,1,7.5,16,8.5
"18","AB_08_MD_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"MD_E","Maryland","E",4,33,3,4,5,21,33,12
"19","AB_08_NC_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_A","North_Carolina","A",3,12,1,3,12,13,27.5,14.5
"20","AB_08_NC_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_B","North_Carolina","B",3,47,4,3,5,18,34.5,16.5
"21","AB_08_NC_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_C","North_Carolina","C",2,57,5,2,1,20.5,34.5,14
"22","AB_08_NC_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_D","North_Carolina","D",2,39,3,2,11,20.5,25.5,5
"23","AB_08_NC_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"NC_E","North_Carolina","E",4,47,4,4,5,18,26,8
"24","AB_08_VT_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_A","Vermont","A",6,14,1,6,14,11.5,21,9.5
"25","AB_08_VT_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_B","Vermont","B",2,40,3,2,11,14.5,16.5,2
"26","AB_08_VT_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_C","Vermont","C",4,19,2,4,5,28,40.5,12.5
"27","AB_08_VT_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_D","Vermont","D",3,12,1,3,12,18,32,14
"28","AB_08_VT_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"VT_E","Vermont","E",3,19,2,3,5,20.5,39.5,19
"29","AB_12_MD_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_A","Maryland","A",4,48,4,4,6,25,30,5
"30","AB_12_MD_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_B","Maryland","B",6,69,5,6,12,13,29,16
"31","AB_12_MD_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_C","Maryland","C",4,17,2,4,3,17.5,30.5,13
"32","AB_12_MD_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_D","Maryland","D",5,17,2,5,3,27.5,33,5.5
"33","AB_12_MD_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"MD_E","Maryland","E",2,60,5,2,4,6.5,13.5,7
"34","AB_12_NC_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_A","North_Carolina","A",2,3,1,2,3,10,17,7
"35","AB_12_NC_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_B","North_Carolina","B",4,17,2,4,3,17.5,34.5,17
"36","AB_12_NC_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_C","North_Carolina","C",5,17,2,5,3,19.5,30,10.5
"37","AB_12_NC_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_D","North_Carolina","D",4,48,4,4,6,23,25.5,2.5
"38","AB_12_NC_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"NC_E","North_Carolina","E",2,60,5,2,4,20.5,32,11.5
"39","AB_12_VT_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_A","Vermont","A",5,31,3,5,3,23,25.5,2.5
"40","AB_12_VT_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_B","Vermont","B",4,22,2,4,6,33.5,35.5,2
"41","AB_12_VT_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_C","Vermont","C",2,60,5,2,4,16.5,28,11.5
"42","AB_12_VT_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_D","Vermont","D",2,3,1,2,3,14,32.5,18.5
"43","AB_12_VT_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"VT_E","Vermont","E",4,31,3,4,3,15,28.5,13.5
"44","AB_16_MD_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_A","Maryland","A",6,12,1,6,12,6.5,19,12.5
"45","AB_16_MD_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_B","Maryland","B",2,27,2,2,12,15.5,26.5,11
"46","AB_16_MD_C","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_C","Maryland","C",5,9,1,5,9,13.5,18,4.5
"47","AB_16_MD_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_D","Maryland","D",5,10,1,5,10,16,32,16
"48","AB_16_MD_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"MD_E","Maryland","E",4,27,2,4,13,17,50,33
"49","AB_16_NC_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_A","North_Carolina","A",2,54,4,2,12,13.5,31,17.5
"50","AB_16_NC_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_B","North_Carolina","B",5,9,1,5,9,27,49,22
"51","AB_16_NC_C","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_C","North_Carolina","C",5,10,1,5,10,23,25.5,2.5
"52","AB_16_NC_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_D","North_Carolina","D",6,12,1,6,12,20,40,20
"53","AB_16_NC_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"NC_E","North_Carolina","E",4,41,3,4,13,22.5,26.5,4
"54","AB_16_VT_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_A","Vermont","A",3,61,5,3,5,20,24.5,4.5
"55","AB_16_VT_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_B","Vermont","B",2,60,5,2,3,23,35,12
"56","AB_16_VT_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_D","Vermont","D",2,26,2,2,12,13,28.5,15.5
"57","AB_16_VT_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"VT_E","Vermont","E",3,62,5,3,6,25.5,34,8.5
"58","AB_18_MD_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_A","Maryland","A",4,32,3,4,4,20.5,29,8.5
"59","AB_18_MD_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_B","Maryland","B",6,54,4,6,10,25.5,30.5,5
"60","AB_18_MD_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_C","Maryland","C",3,66,5,3,10,18,24.5,6.5
"61","AB_18_MD_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"MD_E","Maryland","E",3,5,1,3,5,10,21.5,11.5
"62","AB_18_NC_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"NC_A","North_Carolina","A",6,24,2,6,10,23.5,33.5,10
"63","AB_18_NC_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"NC_D","North_Carolina","D",4,18,2,4,4,26.5,32,5.5
"64","AB_18_VT_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_B","Vermont","B",4,48,4,4,4,19.5,21.5,2
"65","AB_18_VT_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_C","Vermont","C",3,5,1,3,5,15.5,33.5,18
"66","AB_18_VT_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_D","Vermont","D",6,52,4,6,10,18.5,30,11.5
"67","AB_18_VT_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"VT_E","Vermont","E",5,5,1,5,5,25,40.5,15.5
"68","ALB_01_MD_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_A","Maryland","A",4,11,1,4,11,16.5,34.5,18
"69","ALB_01_MD_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"MD_B","Maryland","B",4,66,5,4,9,11,71.5,60.5
