"","Family","Family_gardenID","Garden","Trait","Environment","value"
"1","AB_05","AB_05_Vermont","Vermont","BudSet2019","home",275.403644489877
"2","AB_05","AB_05_Vermont","Vermont","BudSet2019","away",248.584718498654
"3","AB_08","AB_08_Vermont","Vermont","BudSet2019","home",268.280816260771
"4","AB_08","AB_08_Vermont","Vermont","BudSet2019","away",256.161513248255
"5","AB_12","AB_12_Vermont","Vermont","BudSet2019","home",265.042920104193
"6","AB_12","AB_12_Vermont","Vermont","BudSet2019","away",255.6030843871
"7","AB_16","AB_16_Vermont","Vermont","BudSet2019","home",268.265346456365
"8","AB_16","AB_16_Vermont","Vermont","BudSet2019","away",247.412794423488
"9","AB_18","AB_18_Vermont","Vermont","BudSet2019","home",261.61813873356
"10","AB_18","AB_18_Vermont","Vermont","BudSet2019","away",249.739274217744
"11","ALB_01","ALB_01_Vermont","Vermont","BudSet2019","home",264.719130488535
"12","ALB_01","ALB_01_Vermont","Vermont","BudSet2019","away",249.739581344969
"13","ALB_02","ALB_02_Vermont","Vermont","BudSet2019","home",275.336332575776
"14","ALB_02","ALB_02_Vermont","Vermont","BudSet2019","away",244.839455573634
"15","ALB_03","ALB_03_Vermont","Vermont","BudSet2019","home",274.540748830157
"16","ALB_03","ALB_03_Vermont","Vermont","BudSet2019","away",241.828505811935
"17","ALB_05","ALB_05_Vermont","Vermont","BudSet2019","home",259.970216125553
"18","ALB_05","ALB_05_Vermont","Vermont","BudSet2019","away",237.919503783847
"19","ALB_06","ALB_06_Vermont","Vermont","BudSet2019","home",263.423972025904
"20","ALB_06","ALB_06_Vermont","Vermont","BudSet2019","away",239.96707627475
"21","APP_01","APP_01_Vermont","Vermont","BudSet2019","home",250.321559378294
"22","APP_01","APP_01_Vermont","Vermont","BudSet2019","away",244.155292733415
"23","APP_02","APP_02_Vermont","Vermont","BudSet2019","home",255.422591419712
"24","APP_02","APP_02_Vermont","Vermont","BudSet2019","away",234.382787663197
"25","APP_03","APP_03_Vermont","Vermont","BudSet2019","home",272.002494149416
"26","APP_03","APP_03_Vermont","Vermont","BudSet2019","away",240.153219228469
"27","APP_04","APP_04_Vermont","Vermont","BudSet2019","home",251.875475734107
"28","APP_04","APP_04_Vermont","Vermont","BudSet2019","away",228.426213144206
"29","APP_05","APP_05_Vermont","Vermont","BudSet2019","home",258.703305546657
"30","APP_05","APP_05_Vermont","Vermont","BudSet2019","away",244.43880948141
"31","APP_06","APP_06_Vermont","Vermont","BudSet2019","home",259.515449144619
"32","APP_06","APP_06_Vermont","Vermont","BudSet2019","away",242.981151647524
"33","ASC_01","ASC_01_Vermont","Vermont","BudSet2019","home",260.401935613097
"34","ASC_01","ASC_01_Vermont","Vermont","BudSet2019","away",247.268618897982
"35","ASC_02","ASC_02_Vermont","Vermont","BudSet2019","home",254.789582275027
"36","ASC_02","ASC_02_Vermont","Vermont","BudSet2019","away",238.105646737566
"37","ASC_03","ASC_03_Vermont","Vermont","BudSet2019","home",270.655273442262
"38","ASC_03","ASC_03_Vermont","Vermont","BudSet2019","away",255.044655525944
"39","ASC_04","ASC_04_Vermont","Vermont","BudSet2019","home",272.274221520552
"40","ASC_04","ASC_04_Vermont","Vermont","BudSet2019","away",247.040508516051
"41","ASC_05","ASC_05_Vermont","Vermont","BudSet2019","home",268.928395492087
"42","ASC_05","ASC_05_Vermont","Vermont","BudSet2019","away",237.454146399551
"43","ASC_06","ASC_06_Vermont","Vermont","BudSet2019","home",257.91954855972
"44","ASC_06","ASC_06_Vermont","Vermont","BudSet2019","away",251.787153835872
"45","BAL_01","BAL_01_Vermont","Vermont","BudSet2019","home",257.703688815948
"46","BAL_01","BAL_01_Vermont","Vermont","BudSet2019","away",247.412794423488
"47","BAL_02","BAL_02_Vermont","Vermont","BudSet2019","home",266.98565779814
"48","BAL_02","BAL_02_Vermont","Vermont","BudSet2019","away",255.6030843871
"49","BAL_03","BAL_03_Vermont","Vermont","BudSet2019","home",269.791834467175
"50","BAL_03","BAL_03_Vermont","Vermont","BudSet2019","away",240.897791043342
"51","BAL_04","BAL_04_Vermont","Vermont","BudSet2019","home",269.558667638097
"52","BAL_04","BAL_04_Vermont","Vermont","BudSet2019","away",251.373527917137
"53","BAL_05","BAL_05_Vermont","Vermont","BudSet2019","home",257.056109584632
"54","BAL_05","BAL_05_Vermont","Vermont","BudSet2019","away",241.549291381357
"55","BAL_10","BAL_10_Vermont","Vermont","BudSet2019","home",266.661868182482
"56","BAL_10","BAL_10_Vermont","Vermont","BudSet2019","away",239.133555150312
"57","BBE_01","BBE_01_Vermont","Vermont","BudSet2019","home",277.442426031562
"58","BBE_01","BBE_01_Vermont","Vermont","BudSet2019","away",243.410720918542
"59","BBE_02","BBE_02_Vermont","Vermont","BudSet2019","home",270.547343570376
"60","BBE_02","BBE_02_Vermont","Vermont","BudSet2019","away",245.737507840022
"61","BBE_03","BBE_03_Vermont","Vermont","BudSet2019","home",257.37989920029
"62","BBE_03","BBE_03_Vermont","Vermont","BudSet2019","away",232.758357598544
"63","BBE_04","BBE_04_Vermont","Vermont","BudSet2019","home",270.97906305792
"64","BBE_04","BBE_04_Vermont","Vermont","BudSet2019","away",253.648583373056
"65","BBE_05","BBE_05_Vermont","Vermont","BudSet2019","home",264.827060360421
"66","BBE_05","BBE_05_Vermont","Vermont","BudSet2019","away",234.289716186338
"67","BER_01","BER_01_Vermont","Vermont","BudSet2019","home",262.99225253836
"68","BER_01","BER_01_Vermont","Vermont","BudSet2019","away",233.079786987168
"69","BER_02","BER_02_Vermont","Vermont","BudSet2019","home",277.994504730507
"70","BER_02","BER_02_Vermont","Vermont","BudSet2019","away",239.874004797891
"71","BER_03","BER_03_Vermont","Vermont","BudSet2019","home",273.353984653063
"72","BER_03","BER_03_Vermont","Vermont","BudSet2019","away",242.725350542073
"73","BER_04","BER_04_Vermont","Vermont","BudSet2019","home",266.688850690718
"74","BER_04","BER_04_Vermont","Vermont","BudSet2019","away",234.755073570634
"75","BER_05","BER_05_Vermont","Vermont","BudSet2019","home",281.772050246516
"76","BER_05","BER_05_Vermont","Vermont","BudSet2019","away",257.092532109113
"77","BER_06","BER_06_Vermont","Vermont","BudSet2019","home",246.711448056782
"78","BER_06","BER_06_Vermont","Vermont","BudSet2019","away",237.245373888199
"79","BFA_01","BFA_01_Vermont","Vermont","BudSet2019","home",276.807276139762
"80","BFA_01","BFA_01_Vermont","Vermont","BudSet2019","away",247.412794423488
"81","BFA_02","BFA_02_Vermont","Vermont","BudSet2019","home",272.598011136209
"82","BFA_02","BFA_02_Vermont","Vermont","BudSet2019","away",248.808866576376
"83","BFA_03","BFA_03_Vermont","Vermont","BudSet2019","home",272.705941008095
"84","BFA_03","BFA_03_Vermont","Vermont","BudSet2019","away",246.61242553819
"85","BFA_04","BFA_04_Vermont","Vermont","BudSet2019","home",281.1244710152
"86","BFA_04","BFA_04_Vermont","Vermont","BudSet2019","away",237.273757519614
"87","BFA_05","BFA_05_Vermont","Vermont","BudSet2019","home",281.987909990287
"88","BFA_05","BFA_05_Vermont","Vermont","BudSet2019","away",257.285188987992
"89","BLA_01","BLA_01_Vermont","Vermont","BudSet2019","home",256.516460225203
"90","BLA_01","BLA_01_Vermont","Vermont","BudSet2019","away",240.153219228469
"91","BLA_02","BLA_02_Vermont","Vermont","BudSet2019","home",260.294005741211
"92","BLA_02","BLA_02_Vermont","Vermont","BudSet2019","away",236.988789015255
"93","BLA_03","BLA_03_Vermont","Vermont","BudSet2019","home",257.164039456518
"94","BLA_03","BLA_03_Vermont","Vermont","BudSet2019","away",228.488660135351
"95","BLA_04","BLA_04_Vermont","Vermont","BudSet2019","home",259.214707022351
"96","BLA_04","BLA_04_Vermont","Vermont","BudSet2019","away",238.864245389551
