"Variables","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"DD_0",0.418182400614311,-0.0810779199183094,0.122997170380582,-0.0963429428966021,0.158838209263884,-0.120290307395277,0.100536325896933,-0.150627872708838,0.635639347311195,0.0653730299083689,0.559761491730102
"DD18",-0.309380477974031,-0.301578014573171,0.24326732357661,-0.419217704855813,0.0846055686784952,-0.00195745796835303,0.506492634851485,0.0274660781739267,0.0744108298436115,-0.551391440719189,-0.0662672256201996
"MAR",-0.277985695521163,0.335658468958322,-0.0918016174042424,0.0218199614445638,0.559333577201901,-0.675629104295777,0.000587886644857538,-0.165516690509885,-0.0647583428431797,-0.0137409401386772,0.00681055195725512
"PAS",0.405177611976104,0.0304962412076835,0.167068497112324,-0.244574795866103,0.257913215533949,0.197591180578574,0.262555478370715,-0.475428360252547,-0.555301101722057,0.194057977246811,0.0250109990599422
"MSP",0.00883568928322613,0.447601078330497,0.00518372419481547,-0.761081273557257,-0.00814476781265805,0.144428268819076,-0.412934447892231,0.135414834084361,0.0934471021398133,-0.0265941821510692,-0.0329563388536344
"RH",-0.1776880020344,0.223047454738438,0.770699329963887,0.244592921429934,-0.187255215187775,0.00999726047638725,-0.295410913237763,-0.279745148262038,-0.0420936391427828,-0.205112871764074,0.142622127874861
"EXT",-0.0717984388094312,-0.507377010799916,-0.00761707428847954,-0.257317941746702,-0.232443317875562,-0.403089409324889,-0.314757047569507,0.0850006057479872,-0.392677128788079,0.0860109028882559,0.432136248577699
"CMD",-0.182874500651128,-0.427102019503347,0.0278464608014508,0.0650819554389578,0.638823153555226,0.393198127215203,-0.455346414742502,-0.0442969012206921,0.0769156299005355,-0.0104680744860521,-0.0331924584507148
"TD",0.335038962641123,-0.303178548585394,0.226521223879341,-0.116109329417546,-0.0748115318976045,-0.378480863312984,-0.185862881037124,-0.147309020910224,0.216295111104257,0.0895293800700248,-0.686403560285889
"eFFP",-0.399163396201036,-0.0408930114754174,0.346073570790827,-0.134167162200354,0.0216897444133794,0.0386105105758212,0.252496217163295,0.180981471145044,0.124128425727701,0.765730548889767,-0.0317429084523438
"PET",-0.382270241940992,-0.0731198623268244,-0.351335638673241,-0.116965045063415,-0.291403608377326,0.085003555593254,-0.0439062709008028,-0.750261870084242,0.212286772781913,0.0959257734280167,-0.0132538831893583
