"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"1","AB_05","AB",5,"TN","E",9002016,35.55297,-83.49438,1812,0.0973804324227394,0.116854802571511,0.182873140508546,-0.0687678278754753,-0.0244784392018752
"2","AB_08","AB",8,"TN","E",9002016,35.55212,-83.49259,1785,0.0451739456493086,0.141167574568366,0.213981361114765,0.0379559250738304,0.330137598295172
"3","AB_12","AB",12,"TN","E",9002016,35.5389,-83.49463,1750,0.0356162530709443,0.135652566077735,0.195404396768328,0.0441244998108198,0.27183592170395
"4","AB_16","AB",16,"TN","E",9002016,35.53882,-83.49534,1738,0.0777310685421255,0.107013659465416,0.193931901914114,-0.0676671563395387,0.289275578844845
"5","AB_18","AB",18,"TN","E",9002016,35.53945,-83.49375,1769,0.0454053551994485,0.121824029095889,0.211527897477693,0.153465775953907,0.0309350885746414
"6","ALB_01","ALB",1,"ME","C",11112017,44.3067,-70.84019,455,0.0565865758017629,0.115001612313965,0.184046054755229,-0.122994498513634,0.160075988828497
"7","ALB_02","ALB",2,"ME","C",11112017,44.30564,-70.84081,524,0.110762269246645,0.151352883116382,0.244077129089666,-0.120076979527062,0.276941478354196
"8","ALB_03","ALB",3,"ME","C",11112017,44.30359,-70.84096,523,0.119152596318076,0.11341082582119,0.21312028143084,0.0944504690790698,0.172181002977346
"9","ALB_05","ALB",5,"ME","C",11112017,44.30182,-70.83729,573,0.0848201485167681,0.149544874990101,0.195103264041177,0.0402072164595784,0.22540779291849
"10","ALB_06","ALB",6,"ME","C",11112017,44.30061,-70.83641,589,0.0890461698331947,0.130978589319334,0.201622879313379,-0.114395469320131,0.214347052799944
"11","APP_01","APP",1,"VT","C",9022017,44.20933,-72.9295,743,0.0246333821992528,0.121284304721984,0.207560020115776,0.0403376185133683,0.312238597635288
"12","APP_02","APP",2,"VT","C",9022017,44.21172,-72.92999,780,0.082372524840383,0.106071256426861,0.218616718111001,-0.00872820623620533,0.0961762585406063
"13","APP_03","APP",3,"VT","C",9022017,44.22097,-72.92639,896,0.117091848810225,0.107932200759437,0.189277019411335,0.0449763924332791,0.345628056829265
"14","APP_04","APP",4,"VT","C",9292017,44.2114,-72.93122,741,0.09309863344796,0.128985711951597,0.190058955085571,0.122566229028938,0.221785619412981
"15","APP_05","APP",5,"VT","C",9272017,44.21034,-72.93051,733,0.0551384375824072,0.152459236509958,0.186841408271738,0.0626596376657744,0.0392150229880836
"16","APP_06","APP",6,"VT","C",9272017,44.21235,-72.93502,658,0.0637121895886863,0.110698456279623,0.240746315661281,0.0878838658594081,0.138623626604257
"17","ASC_01","ASC",1,"VT","C",10162017,43.43787,-72.45218,883,0.0504347891431501,0.136022032933788,0.202618315262033,-0.309588572557359,0.382849378308215
"18","ASC_02","ASC",2,"VT","C",10162017,43.43983,-72.45328,847,0.0654812311731507,0.11555761149579,0.210952751111038,-0.05812976187493,0.314328539273734
"19","ASC_03","ASC",3,"VT","C",10162017,43.44192,-72.45589,861,0.0576771245495352,0.127976992789351,0.217824783516519,-0.0571635320147769,0.137974869575768
"20","ASC_04","ASC",4,"VT","C",10162017,43.4426,-72.45713,870,0.0926775691932176,0.111541369028166,0.214591534028942,0.0211351091533564,0.328631395108232
"21","ASC_05","ASC",5,"VT","C",10162017,43.44376,-72.45867,879,0.117035796963516,0.131041830562696,0.189209248428026,0.178538248975357,0.301771137864738
"22","ASC_06","ASC",6,"VT","C",10162017,43.44379,-72.45434,967,0.0237763859238004,0.141182721085379,0.241271737388256,0.0124454879890252,0.119796481083216
"23","B_02","B",2,"VT","C",2192016,44.10929,-73.0714,311,-0.00779655786633876,0.121376123726375,0.1814473509517,-0.185947487629862,-0.0556090134800965
"24","B_03","B",3,"VT","C",2192016,44.10897,-73.0712,325,0.0882337636535104,0.12687369055654,0.188913597353623,0.000662076985546456,0.22967270667083
