"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","DBH","bio1_13","bio2_13","bio3_13","bio4_13","bio5_13","bio6_13","bio7_13","bio8_13","bio9_13","bio10_13","bio11_13","bio12_13","bio13_13","bio14_13","bio15_13","bio16_13","bio17_13","bio18_13","bio19_13","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"1","AB_05","AB",5,"TN","E",9002016,35.55297,-83.49438,1812,57.7,70,104,34,7058,214,-85,299,68,122,158,-24,2006,197,143,7,537,463,509,492,26.8189259912226,28.0424762195997,25.7374513561656,0.935158369709058,1.98113366162629
"2","AB_08","AB",8,"TN","E",9002016,35.55212,-83.49259,1785,44.3,70,104,34,7058,214,-85,299,68,122,158,-24,2006,197,143,7,537,463,509,492,12.1193030125162,33.5649085938664,30.0641105015688,1.1836292509184,5.60815035340219
"3","AB_12","AB",12,"TN","E",9002016,35.5389,-83.49463,1750,36.8,79,110,36,7021,226,-78,304,77,131,166,-15,1923,191,134,8,516,439,487,478,9.43983571709299,32.3493324841153,26.2036824551972,0.462162076532104,7.84432773304339
"4","AB_16","AB",16,"TN","E",9002016,35.53882,-83.49534,1738,44,79,110,36,7021,226,-78,304,77,131,166,-15,1923,191,134,8,516,439,487,478,20.8525520328767,25.6304561292445,27.4327195321741,2.54350480722668,5.36510821158257
"5","AB_18","AB",18,"TN","E",9002016,35.53945,-83.49375,1769,68.2,79,110,36,7021,226,-78,304,77,131,166,-15,1923,191,134,8,516,439,487,478,11.8788645158159,28.5036393728313,29.9168629667394,1.73776157528638,1.99381051319194
"6","ALB_01","ALB",1,"ME","C",11112017,44.3067,-70.84019,455,28.1,46,120,29,9718,243,-160,403,0,-72,167,-85,1237,129,85,11,347,270,319,284,14.9795491435663,27.2028827431954,25.8503884990469,9.16490033725387,10.6851872815317
"7","ALB_02","ALB",2,"ME","C",11112017,44.30564,-70.84081,524,11.3,46,120,29,9718,243,-160,403,0,-72,167,-85,1237,129,85,11,347,270,319,284,30.4968770021419,36.3497013760975,34.5687180846887,1.48437405020241,4.47441101462263
"8","ALB_03","ALB",3,"ME","C",11112017,44.30359,-70.84096,523,19.9,46,120,29,9718,243,-160,403,0,-72,167,-85,1237,129,85,11,347,270,319,284,32.712243018222,26.5652090183271,30.1905076918046,1.17494136522179,2.99176736898738
"9","ALB_05","ALB",5,"ME","C",11112017,44.30182,-70.83729,573,11.9,46,120,29,9718,243,-160,403,0,-72,167,-85,1237,129,85,11,347,270,319,284,22.0507123417057,35.8686222398821,27.5952038946,1.87375403155661,4.12241824559526
"10","ALB_06","ALB",6,"ME","C",11112017,44.30061,-70.83641,589,12.3,46,120,29,9718,243,-160,403,0,-72,167,-85,1237,129,85,11,347,270,319,284,23.4568957511533,30.7948479673359,28.5508454866573,1.22067039270646,3.56739298015901
