plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudBreak,cGDD,mBed,pPC1,pPC2,gPC1,gPC2,pEXT,pDD_0,gEXT,gDD_0
AB_05_VT_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,D,4,41,3,4,13,141,554.55,Vermont_D,-2.439178204,4.764181374,-3.44541897,-5.80837561,30.7,335,39.25,531.5
AB_05_MD_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,B,4,41,3,4,13,143,683.5,Maryland_B,-2.439178204,4.764181374,-4.791044403,-3.537747468,30.7,335,36.4,282.5
AB_05_VT_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,E,4,30,3,4,2,146,591.2,Vermont_E,-2.439178204,4.764181374,-3.44541897,-5.80837561,30.7,335,39.25,531.5
AB_05_MD_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,E,6,68,5,6,12,140,669.6,Maryland_E,-2.439178204,4.764181374,-4.791044403,-3.537747468,30.7,335,36.4,282.5
AB_05_NC_E,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,E,6,68,5,6,12,118,725.5,North_Carolina_E,-2.439178204,4.764181374,-9.853610589,-5.010164336,30.7,335,37.75,53.5
AB_05_VT_B,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,B,3,2,1,3,2,146,591.2,Vermont_B,-2.439178204,4.764181374,-3.44541897,-5.80837561,30.7,335,39.25,531.5
AB_05_MD_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,A,5,69,5,5,13,139,665.65,Maryland_A,-2.439178204,4.764181374,-4.791044403,-3.537747468,30.7,335,36.4,282.5
AB_05_VT_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,A,2,66,5,2,10,143,568.5,Vermont_A,-2.439178204,4.764181374,-3.44541897,-5.80837561,30.7,335,39.25,531.5
AB_05_NC_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,C,6,5,1,6,5,122,750.9,North_Carolina_C,-2.439178204,4.764181374,-9.853610589,-5.010164336,30.7,335,37.75,53.5
AB_05_MD_D,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,D,6,5,1,6,5,138,662.4,Maryland_D,-2.439178204,4.764181374,-4.791044403,-3.537747468,30.7,335,36.4,282.5
AB_05_VT_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Vermont,C,6,68,5,6,12,136,523.95,Vermont_C,-2.439178204,4.764181374,-3.44541897,-5.80837561,30.7,335,39.25,531.5
AB_05_NC_A,AB_05,AB,TN,Edge,35.55297,83.49438,1812,North_Carolina,A,4,41,3,4,13,122,750.9,North_Carolina_A,-2.439178204,4.764181374,-9.853610589,-5.010164336,30.7,335,37.75,53.5
AB_05_MD_C,AB_05,AB,TN,Edge,35.55297,83.49438,1812,Maryland,C,4,16,2,4,2,135,642.5,Maryland_C,-2.439178204,4.764181374,-4.791044403,-3.537747468,30.7,335,36.4,282.5
AB_08_VT_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,A,6,14,1,6,14,139,538.3,Vermont_A,-2.562603267,4.604391681,-3.44541897,-5.80837561,30.9,328,39.25,531.5
AB_08_VT_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,B,2,39,3,2,11,143,568.5,Vermont_B,-2.562603267,4.604391681,-3.44541897,-5.80837561,30.9,328,39.25,531.5
AB_08_MD_B,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,B,5,59,5,5,3,137,657.5,Maryland_B,-2.562603267,4.604391681,-4.791044403,-3.537747468,30.9,328,36.4,282.5
AB_08_MD_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,D,2,57,5,2,1,138,662.4,Maryland_D,-2.562603267,4.604391681,-4.791044403,-3.537747468,30.9,328,36.4,282.5
AB_08_VT_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,D,3,12,1,3,12,141,554.55,Vermont_D,-2.562603267,4.604391681,-3.44541897,-5.80837561,30.9,328,39.25,531.5
AB_08_VT_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,C,4,19,2,4,5,139,538.3,Vermont_C,-2.562603267,4.604391681,-3.44541897,-5.80837561,30.9,328,39.25,531.5
AB_08_MD_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,A,2,25,2,2,11,NA,NA,Maryland_A,-2.562603267,4.604391681,-4.791044403,-3.537747468,30.9,328,36.4,282.5
AB_08_MD_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,C,3,33,3,3,5,141,674.8,Maryland_C,-2.562603267,4.604391681,-4.791044403,-3.537747468,30.9,328,36.4,282.5
AB_08_NC_C,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,C,2,57,5,2,1,100,595.95,North_Carolina_C,-2.562603267,4.604391681,-9.853610589,-5.010164336,30.9,328,37.75,53.5
AB_08_MD_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Maryland,E,4,33,3,4,5,145,693.8,Maryland_E,-2.562603267,4.604391681,-4.791044403,-3.537747468,30.9,328,36.4,282.5
AB_08_NC_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,E,4,47,4,4,5,105,634.4,North_Carolina_E,-2.562603267,4.604391681,-9.853610589,-5.010164336,30.9,328,37.75,53.5
AB_08_NC_A,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,A,3,12,1,3,12,118,725.5,North_Carolina_A,-2.562603267,4.604391681,-9.853610589,-5.010164336,30.9,328,37.75,53.5
AB_08_NC_D,AB_08,AB,TN,Edge,35.55212,83.49259,1785,North_Carolina,D,2,39,3,2,11,118,725.5,North_Carolina_D,-2.562603267,4.604391681,-9.853610589,-5.010164336,30.9,328,37.75,53.5
AB_08_VT_E,AB_08,AB,TN,Edge,35.55212,83.49259,1785,Vermont,E,3,19,2,3,5,146,591.2,Vermont_E,-2.562603267,4.604391681,-3.44541897,-5.80837561,30.9,328,39.25,531.5
AB_12_MD_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,B,6,68,5,6,12,141,674.8,Maryland_B,-2.881692293,4.284907464,-4.791044403,-3.537747468,31.4,305,36.4,282.5
AB_12_MD_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,C,4,17,2,4,3,143,683.5,Maryland_C,-2.881692293,4.284907464,-4.791044403,-3.537747468,31.4,305,36.4,282.5
AB_12_NC_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,D,4,48,4,4,6,111,684.95,North_Carolina_D,-2.881692293,4.284907464,-9.853610589,-5.010164336,31.4,305,37.75,53.5
AB_12_NC_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,C,5,17,2,5,3,122,750.9,North_Carolina_C,-2.881692293,4.284907464,-9.853610589,-5.010164336,31.4,305,37.75,53.5
AB_12_MD_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,A,4,48,4,4,6,137,657.5,Maryland_A,-2.881692293,4.284907464,-4.791044403,-3.537747468,31.4,305,36.4,282.5
AB_12_NC_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,A,2,3,1,2,3,111,684.95,North_Carolina_A,-2.881692293,4.284907464,-9.853610589,-5.010164336,31.4,305,37.75,53.5
AB_12_VT_E,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,E,4,31,3,4,3,136,523.95,Vermont_E,-2.881692293,4.284907464,-3.44541897,-5.80837561,31.4,305,39.25,531.5
AB_12_VT_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,B,4,20,2,4,6,146,591.2,Vermont_B,-2.881692293,4.284907464,-3.44541897,-5.80837561,31.4,305,39.25,531.5
AB_12_VT_A,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,A,5,31,3,5,3,143,568.5,Vermont_A,-2.881692293,4.284907464,-3.44541897,-5.80837561,31.4,305,39.25,531.5
AB_12_NC_B,AB_12,AB,TN,Edge,35.5389,83.49463,1750,North_Carolina,B,4,17,2,4,3,122,750.9,North_Carolina_B,-2.881692293,4.284907464,-9.853610589,-5.010164336,31.4,305,37.75,53.5
AB_12_VT_C,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Vermont,C,2,60,5,2,4,146,591.2,Vermont_C,-2.881692293,4.284907464,-3.44541897,-5.80837561,31.4,305,39.25,531.5
AB_12_MD_D,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,D,5,17,2,5,3,146,696.9,Maryland_D,-2.881692293,4.284907464,-4.791044403,-3.537747468,31.4,305,36.4,282.5
AB_12_MD_E,AB_12,AB,TN,Edge,35.5389,83.49463,1750,Maryland,E,2,60,5,2,4,NA,NA,Maryland_E,-2.881692293,4.284907464,-4.791044403,-3.537747468,31.4,305,36.4,282.5
AB_16_NC_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,A,2,54,4,2,12,125,777.7,North_Carolina_A,-2.823878178,4.211146398,-9.853610589,-5.010164336,31.4,304,37.75,53.5
AB_16_MD_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,A,6,12,1,6,12,125,585.4,Maryland_A,-2.823878178,4.211146398,-4.791044403,-3.537747468,31.4,304,36.4,282.5
AB_16_NC_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,D,6,12,1,6,12,122,750.9,North_Carolina_D,-2.823878178,4.211146398,-9.853610589,-5.010164336,31.4,304,37.75,53.5
AB_16_MD_C,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,C,5,9,1,5,9,141,674.8,Maryland_C,-2.823878178,4.211146398,-4.791044403,-3.537747468,31.4,304,36.4,282.5
AB_16_MD_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,B,2,26,2,2,12,141,674.8,Maryland_B,-2.823878178,4.211146398,-4.791044403,-3.537747468,31.4,304,36.4,282.5
AB_16_VT_B,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,B,2,59,5,2,3,143,568.5,Vermont_B,-2.823878178,4.211146398,-3.44541897,-5.80837561,31.4,304,39.25,531.5
AB_16_MD_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,D,5,10,1,5,10,141,674.8,Maryland_D,-2.823878178,4.211146398,-4.791044403,-3.537747468,31.4,304,36.4,282.5
AB_16_VT_A,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,A,3,61,5,3,5,143,568.5,Vermont_A,-2.823878178,4.211146398,-3.44541897,-5.80837561,31.4,304,39.25,531.5
AB_16_NC_C,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,C,5,10,1,5,10,111,684.95,North_Carolina_C,-2.823878178,4.211146398,-9.853610589,-5.010164336,31.4,304,37.75,53.5
AB_16_NC_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,North_Carolina,E,4,41,3,4,13,111,684.95,North_Carolina_E,-2.823878178,4.211146398,-9.853610589,-5.010164336,31.4,304,37.75,53.5
AB_16_MD_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Maryland,E,4,27,2,4,13,145,693.8,Maryland_E,-2.823878178,4.211146398,-4.791044403,-3.537747468,31.4,304,36.4,282.5
AB_16_VT_D,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,D,2,26,2,2,12,146,591.2,Vermont_D,-2.823878178,4.211146398,-3.44541897,-5.80837561,31.4,304,39.25,531.5
AB_16_VT_E,AB_16,AB,TN,Edge,35.53882,83.49534,1738,Vermont,E,3,62,5,3,6,141,554.55,Vermont_E,-2.823878178,4.211146398,-3.44541897,-5.80837561,31.4,304,39.25,531.5
AB_18_VT_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,E,5,5,1,5,5,146,591.2,Vermont_E,-2.888646621,4.358017588,-3.44541897,-5.80837561,31.3,308,39.25,531.5
AB_18_VT_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,C,3,5,1,3,5,146,591.2,Vermont_C,-2.888646621,4.358017588,-3.44541897,-5.80837561,31.3,308,39.25,531.5
AB_18_NC_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,A,6,24,2,6,10,104,626.35,North_Carolina_A,-2.888646621,4.358017588,-9.853610589,-5.010164336,31.3,308,37.75,53.5
AB_18_MD_A,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,A,4,32,3,4,4,144,687.4,Maryland_A,-2.888646621,4.358017588,-4.791044403,-3.537747468,31.3,308,36.4,282.5
AB_18_MD_C,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,C,3,66,5,3,10,139,665.65,Maryland_C,-2.888646621,4.358017588,-4.791044403,-3.537747468,31.3,308,36.4,282.5
AB_18_MD_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,E,3,5,1,3,5,142,679.3,Maryland_E,-2.888646621,4.358017588,-4.791044403,-3.537747468,31.3,308,36.4,282.5
AB_18_NC_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,D,4,18,2,4,4,111,684.95,North_Carolina_D,-2.888646621,4.358017588,-9.853610589,-5.010164336,31.3,308,37.75,53.5
AB_18_VT_D,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,D,6,52,4,6,10,143,568.5,Vermont_D,-2.888646621,4.358017588,-3.44541897,-5.80837561,31.3,308,39.25,531.5
AB_18_VT_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Vermont,B,4,46,4,4,4,139,538.3,Vermont_B,-2.888646621,4.358017588,-3.44541897,-5.80837561,31.3,308,39.25,531.5
AB_18_MD_B,AB_18,AB,TN,Edge,35.53945,83.49375,1769,Maryland,B,6,52,4,6,10,146,696.9,Maryland_B,-2.888646621,4.358017588,-4.791044403,-3.537747468,31.3,308,36.4,282.5
AB_18_NC_E,AB_18,AB,TN,Edge,35.53945,83.49375,1769,North_Carolina,E,3,5,1,3,5,122,750.9,North_Carolina_E,-2.888646621,4.358017588,-9.853610589,-5.010164336,31.3,308,37.75,53.5
ALB_01_MD_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,A,4,11,1,4,11,137,657.5,Maryland_A,1.177297817,-1.948028264,-4.791044403,-3.537747468,34.7,947,36.4,282.5
ALB_01_NC_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,A,4,6,1,4,6,118,725.5,North_Carolina_A,1.177297817,-1.948028264,-9.853610589,-5.010164336,34.7,947,37.75,53.5
ALB_01_NC_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,B,4,4,1,4,4,118,725.5,North_Carolina_B,1.177297817,-1.948028264,-9.853610589,-5.010164336,34.7,947,37.75,53.5
ALB_01_NC_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,D,4,11,1,4,11,122,750.9,North_Carolina_D,1.177297817,-1.948028264,-9.853610589,-5.010164336,34.7,947,37.75,53.5
ALB_01_NC_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,C,6,21,2,6,7,118,725.5,North_Carolina_C,1.177297817,-1.948028264,-9.853610589,-5.010164336,34.7,947,37.75,53.5
ALB_01_VT_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,C,5,20,2,5,6,141,554.55,Vermont_C,1.177297817,-1.948028264,-3.44541897,-5.80837561,34.7,947,39.25,531.5
ALB_01_VT_A,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,A,6,35,3,6,7,141,554.55,Vermont_A,1.177297817,-1.948028264,-3.44541897,-5.80837561,34.7,947,39.25,531.5
ALB_01_VT_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,E,4,67,5,4,11,141,554.55,Vermont_E,1.177297817,-1.948028264,-3.44541897,-5.80837561,34.7,947,39.25,531.5
ALB_01_MD_C,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,C,4,4,1,4,4,139,665.65,Maryland_C,1.177297817,-1.948028264,-4.791044403,-3.537747468,34.7,947,36.4,282.5
ALB_01_VT_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,B,4,60,5,4,4,139,538.3,Vermont_B,1.177297817,-1.948028264,-3.44541897,-5.80837561,34.7,947,39.25,531.5
ALB_01_VT_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Vermont,D,4,6,1,4,6,141,554.55,Vermont_D,1.177297817,-1.948028264,-3.44541897,-5.80837561,34.7,947,39.25,531.5
ALB_01_MD_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,E,5,34,3,5,6,145,693.8,Maryland_E,1.177297817,-1.948028264,-4.791044403,-3.537747468,34.7,947,36.4,282.5
ALB_01_MD_B,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,B,4,65,5,4,9,130,613.55,Maryland_B,1.177297817,-1.948028264,-4.791044403,-3.537747468,34.7,947,36.4,282.5
ALB_01_NC_E,ALB_01,ALB,ME,Core,44.3067,70.84019,455,North_Carolina,E,5,48,4,5,6,111,684.95,North_Carolina_E,1.177297817,-1.948028264,-9.853610589,-5.010164336,34.7,947,37.75,53.5
ALB_01_MD_D,ALB_01,ALB,ME,Core,44.3067,70.84019,455,Maryland,D,6,21,2,6,7,135,642.5,Maryland_D,1.177297817,-1.948028264,-4.791044403,-3.537747468,34.7,947,36.4,282.5
ALB_02_NC_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,D,6,2,1,6,2,122,750.9,North_Carolina_D,1.301605615,-1.512001814,-9.853610589,-5.010164336,34.3,963,37.75,53.5
ALB_02_MD_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,E,3,61,5,3,5,133,629.9,Maryland_E,1.301605615,-1.512001814,-4.791044403,-3.537747468,34.3,963,36.4,282.5
ALB_02_MD_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,A,6,2,1,6,2,117,549.55,Maryland_A,1.301605615,-1.512001814,-4.791044403,-3.537747468,34.3,963,36.4,282.5
ALB_02_VT_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,C,3,61,5,3,5,141,554.55,Vermont_C,1.301605615,-1.512001814,-3.44541897,-5.80837561,34.3,963,39.25,531.5
ALB_02_NC_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,C,2,18,2,2,4,111,684.95,North_Carolina_C,1.301605615,-1.512001814,-9.853610589,-5.010164336,34.3,963,37.75,53.5
ALB_02_MD_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,D,2,18,2,2,4,143,683.5,Maryland_D,1.301605615,-1.512001814,-4.791044403,-3.537747468,34.3,963,36.4,282.5
ALB_02_MD_C,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,C,3,38,3,3,10,135,642.5,Maryland_C,1.301605615,-1.512001814,-4.791044403,-3.537747468,34.3,963,36.4,282.5
ALB_02_VT_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,A,2,32,3,2,4,143,568.5,Vermont_A,1.301605615,-1.512001814,-3.44541897,-5.80837561,34.3,963,39.25,531.5
ALB_02_NC_A,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,A,2,25,2,2,11,111,684.95,North_Carolina_A,1.301605615,-1.512001814,-9.853610589,-5.010164336,34.3,963,37.75,53.5
ALB_02_MD_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Maryland,B,2,53,4,2,11,133,629.9,Maryland_B,1.301605615,-1.512001814,-4.791044403,-3.537747468,34.3,963,36.4,282.5
ALB_02_VT_D,ALB_02,ALB,ME,Core,44.30564,70.84081,524,Vermont,D,2,53,4,2,11,146,591.2,Vermont_D,1.301605615,-1.512001814,-3.44541897,-5.80837561,34.3,963,39.25,531.5
ALB_02_NC_B,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,B,3,52,4,3,10,97,570.9,North_Carolina_B,1.301605615,-1.512001814,-9.853610589,-5.010164336,34.3,963,37.75,53.5
ALB_02_NC_E,ALB_02,ALB,ME,Core,44.30564,70.84081,524,North_Carolina,E,3,61,5,3,5,79,454.4,North_Carolina_E,1.301605615,-1.512001814,-9.853610589,-5.010164336,34.3,963,37.75,53.5
