"plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","BudSet","mBed","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
"AB_05_NC_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina","A",4,41,3,4,13,234,"North_Carolina_A",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
"AB_05_NC_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina","C",6,5,1,6,5,202,"North_Carolina_C",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
"AB_05_NC_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina","E",6,68,5,6,12,221,"North_Carolina_E",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
"AB_05_VT_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont","A",2,66,5,2,10,263,"Vermont_A",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
"AB_05_VT_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont","B",3,2,1,3,2,222,"Vermont_B",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
"AB_05_VT_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont","C",6,68,5,6,12,263,"Vermont_C",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
"AB_05_VT_D","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont","D",4,41,3,4,13,249,"Vermont_D",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
"AB_05_VT_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont","E",4,30,3,4,2,249,"Vermont_E",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
"AB_05_MD_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland","A",5,69,5,5,13,251,"Maryland_A",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
"AB_05_MD_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland","B",4,41,3,4,13,199,"Maryland_B",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
"AB_05_MD_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland","E",6,68,5,6,12,203,"Maryland_E",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
"AB_08_MD_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland","D",2,57,5,2,1,212,"Maryland_D",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
"AB_08_MD_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland","E",4,33,3,4,5,203,"Maryland_E",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
"AB_08_VT_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont","A",6,14,1,6,14,215,"Vermont_A",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
"AB_08_VT_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont","B",2,39,3,2,11,263,"Vermont_B",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
"AB_08_VT_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont","C",4,19,2,4,5,236,"Vermont_C",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
"AB_08_VT_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont","E",3,19,2,3,5,236,"Vermont_E",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
"AB_08_VT_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont","D",3,12,1,3,12,249,"Vermont_D",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
"AB_08_MD_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland","B",5,59,5,5,3,199,"Maryland_B",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
"AB_08_MD_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland","C",3,33,3,3,5,201,"Maryland_C",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
"AB_08_NC_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina","A",3,12,1,3,12,195,"North_Carolina_A",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
"AB_08_NC_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina","C",2,57,5,2,1,196,"North_Carolina_C",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
"AB_08_NC_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina","D",2,39,3,2,11,197,"North_Carolina_D",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
"AB_08_NC_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina","E",4,47,4,4,5,198,"North_Carolina_E",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
"AB_12_MD_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland","A",4,48,4,4,6,209,"Maryland_A",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
"AB_12_MD_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland","B",6,68,5,6,12,199,"Maryland_B",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
"AB_12_MD_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland","C",4,17,2,4,3,217,"Maryland_C",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
"AB_12_MD_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland","D",5,17,2,5,3,202,"Maryland_D",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
"AB_12_VT_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont","B",4,20,2,4,6,249,"Vermont_B",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
"AB_12_VT_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont","C",2,60,5,2,4,249,"Vermont_C",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
"AB_12_VT_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont","A",5,31,3,5,3,236,"Vermont_A",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
"AB_12_VT_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont","D",2,3,1,2,3,236,"Vermont_D",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
"AB_12_VT_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont","E",4,31,3,4,3,244,"Vermont_E",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
"AB_12_NC_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina","C",5,17,2,5,3,202,"North_Carolina_C",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
"AB_12_NC_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina","B",4,17,2,4,3,206,"North_Carolina_B",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
"AB_12_NC_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina","D",4,48,4,4,6,202,"North_Carolina_D",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
"AB_12_NC_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina","E",2,60,5,2,4,198,"North_Carolina_E",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
"AB_16_MD_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland","A",6,12,1,6,12,243,"Maryland_A",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
"AB_16_MD_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland","B",2,26,2,2,12,238,"Maryland_B",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
"AB_16_MD_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland","D",5,10,1,5,10,202,"Maryland_D",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
"AB_16_NC_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina","A",2,54,4,2,12,241,"North_Carolina_A",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
"AB_16_NC_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina","E",4,41,3,4,13,221,"North_Carolina_E",-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
"AB_16_VT_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont","A",3,61,5,3,5,278,"Vermont_A",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
"AB_16_VT_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont","B",2,59,5,2,3,271,"Vermont_B",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
"AB_16_VT_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont","D",2,26,2,2,12,244,"Vermont_D",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
"AB_16_VT_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont","E",3,62,5,3,6,200,"Vermont_E",-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
"AB_16_MD_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland","E",4,27,2,4,13,203,"Maryland_E",-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
"AB_18_NC_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"North_Carolina","A",6,24,2,6,10,200,"North_Carolina_A",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5
"AB_18_NC_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"North_Carolina","D",4,18,2,4,4,197,"North_Carolina_D",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5
"AB_18_NC_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"North_Carolina","E",3,5,1,3,5,197,"North_Carolina_E",-2.88864662069922,4.35801758776731,-9.85361058869086,-5.01016433622286,31.3,308,37.75,53.5
"AB_18_VT_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Vermont","B",4,46,4,4,4,222,"Vermont_B",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5
"AB_18_VT_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Vermont","C",3,5,1,3,5,236,"Vermont_C",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5
"AB_18_VT_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Vermont","E",5,5,1,5,5,197,"Vermont_E",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5
"AB_18_VT_D","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Vermont","D",6,52,4,6,10,236,"Vermont_D",-2.88864662069922,4.35801758776731,-3.44541897005897,-5.80837560984597,31.3,308,39.25,531.5
"AB_18_MD_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland","A",4,32,3,4,4,197,"Maryland_A",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
"AB_18_MD_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland","B",6,52,4,6,10,199,"Maryland_B",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
"AB_18_MD_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland","C",3,66,5,3,10,202,"Maryland_C",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
"AB_18_MD_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland","E",3,5,1,3,5,237,"Maryland_E",-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
"ALB_01_VT_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Vermont","B",4,60,5,4,4,244,"Vermont_B",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5
"ALB_01_VT_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Vermont","A",6,35,3,6,7,222,"Vermont_A",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5
"ALB_01_VT_E","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Vermont","E",4,67,5,4,11,222,"Vermont_E",1.17729781703959,-1.94802826364754,-3.44541897005897,-5.80837560984597,34.7,947,39.25,531.5
"ALB_01_MD_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Maryland","A",4,11,1,4,11,237,"Maryland_A",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5
"ALB_01_MD_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Maryland","B",4,65,5,4,9,204,"Maryland_B",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5
"ALB_01_MD_C","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Maryland","C",4,4,1,4,4,232,"Maryland_C",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5
"ALB_01_MD_D","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Maryland","D",6,21,2,6,7,245,"Maryland_D",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5
"ALB_01_MD_E","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"Maryland","E",5,34,3,5,6,240,"Maryland_E",1.17729781703959,-1.94802826364754,-4.79104440324931,-3.53774746780395,34.7,947,36.4,282.5
"ALB_01_NC_A","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"North_Carolina","A",4,6,1,4,6,195,"North_Carolina_A",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5
"ALB_01_NC_B","ALB_01","ALB","ME","Core",44.3067,70.84019,455,"North_Carolina","B",4,4,1,4,4,242,"North_Carolina_B",1.17729781703959,-1.94802826364754,-9.85361058869086,-5.01016433622286,34.7,947,37.75,53.5
