"X","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","FinalHT","Height_Fall2019","Growth","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
1,"AB_05_MD_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland_A","Maryland","A",5,69,5,5,13,45,30,15,-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
2,"AB_05_MD_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland_B","Maryland","B",4,41,3,4,13,46.5,32,14.5,-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
3,"AB_05_MD_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Maryland_E","Maryland","E",6,68,5,6,12,55.5,35.5,20,-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5
4,"AB_05_NC_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina_A","North_Carolina","A",4,41,3,4,13,57,29.5,27.5,-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
5,"AB_05_NC_C","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina_C","North_Carolina","C",6,5,1,6,5,42,31,11,-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
6,"AB_05_NC_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"North_Carolina_E","North_Carolina","E",6,68,5,6,12,36.5,22.5,14,-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5
7,"AB_05_VT_A","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont_A","Vermont","A",2,66,5,2,10,32,26,6,-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
8,"AB_05_VT_B","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont_B","Vermont","B",3,2,1,3,2,38,22.5,15.5,-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
9,"AB_05_VT_D","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont_D","Vermont","D",4,41,3,4,13,44,27,17,-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
10,"AB_05_VT_E","AB_05","AB","TN","Edge",35.55297,83.49438,1812,"Vermont_E","Vermont","E",4,30,3,4,2,43.5,27,16.5,-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5
11,"AB_08_MD_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland_A","Maryland","A",2,25,2,2,11,20.6,25,-4.4,-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
12,"AB_08_MD_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland_B","Maryland","B",5,59,5,5,3,44,28,16,-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
13,"AB_08_MD_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland_C","Maryland","C",3,33,3,3,5,49.5,32.5,17,-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
14,"AB_08_MD_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland_D","Maryland","D",2,57,5,2,1,27,16,11,-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
15,"AB_08_MD_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Maryland_E","Maryland","E",4,33,3,4,5,50.5,33,17.5,-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5
16,"AB_08_NC_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina_A","North_Carolina","A",3,12,1,3,12,38,27.5,10.5,-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
17,"AB_08_NC_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina_B","North_Carolina","B",3,47,4,3,5,34,34.5,-0.5,-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
18,"AB_08_NC_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina_C","North_Carolina","C",2,57,5,2,1,52.5,34.5,18,-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
19,"AB_08_NC_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina_D","North_Carolina","D",2,39,3,2,11,34,25.5,8.5,-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
20,"AB_08_NC_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"North_Carolina_E","North_Carolina","E",4,47,4,4,5,37,26,11,-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5
21,"AB_08_VT_A","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont_A","Vermont","A",6,14,1,6,14,35,21,14,-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
22,"AB_08_VT_B","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont_B","Vermont","B",2,39,3,2,11,37,16.5,20.5,-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
23,"AB_08_VT_C","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont_C","Vermont","C",4,19,2,4,5,63,40.5,22.5,-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
24,"AB_08_VT_D","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont_D","Vermont","D",3,12,1,3,12,48,32,16,-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
25,"AB_08_VT_E","AB_08","AB","TN","Edge",35.55212,83.49259,1785,"Vermont_E","Vermont","E",3,19,2,3,5,54,39.5,14.5,-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5
26,"AB_12_MD_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland_A","Maryland","A",4,48,4,4,6,59.5,30,29.5,-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
27,"AB_12_MD_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland_B","Maryland","B",6,68,5,6,12,47.5,29,18.5,-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
28,"AB_12_MD_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland_C","Maryland","C",4,17,2,4,3,49,30.5,18.5,-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
29,"AB_12_MD_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Maryland_D","Maryland","D",5,17,2,5,3,55.5,33,22.5,-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5
30,"AB_12_NC_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina_A","North_Carolina","A",2,3,1,2,3,16,17,-1,-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
31,"AB_12_NC_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina_B","North_Carolina","B",4,17,2,4,3,53.5,34.5,19,-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
32,"AB_12_NC_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina_C","North_Carolina","C",5,17,2,5,3,47,30,17,-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
33,"AB_12_NC_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina_D","North_Carolina","D",4,48,4,4,6,35,25.5,9.5,-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
34,"AB_12_NC_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"North_Carolina_E","North_Carolina","E",2,60,5,2,4,45.5,32,13.5,-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5
35,"AB_12_VT_A","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont_A","Vermont","A",5,31,3,5,3,45.5,25.5,20,-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
36,"AB_12_VT_B","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont_B","Vermont","B",4,20,2,4,6,66,35.5,30.5,-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
37,"AB_12_VT_C","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont_C","Vermont","C",2,60,5,2,4,42.5,28,14.5,-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
38,"AB_12_VT_D","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont_D","Vermont","D",2,3,1,2,3,44.5,32.5,12,-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
39,"AB_12_VT_E","AB_12","AB","TN","Edge",35.5389,83.49463,1750,"Vermont_E","Vermont","E",4,31,3,4,3,43.5,28.5,15,-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5
40,"AB_16_MD_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland_A","Maryland","A",6,12,1,6,12,35.2,19,16.2,-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
41,"AB_16_MD_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland_B","Maryland","B",2,26,2,2,12,43.5,26.5,17,-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
42,"AB_16_MD_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland_D","Maryland","D",5,10,1,5,10,49.5,32,17.5,-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
43,"AB_16_MD_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Maryland_E","Maryland","E",4,27,2,4,13,71,50,21,-2.82387817764868,4.21114639750153,-4.79104440324931,-3.53774746780395,31.4,304,36.4,282.5
44,"AB_16_NC_A","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina_A","North_Carolina","A",2,54,4,2,12,50,31,19,-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
45,"AB_16_NC_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina_B","North_Carolina","B",5,9,1,5,9,47.5,49,-1.5,-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
46,"AB_16_NC_C","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina_C","North_Carolina","C",5,10,1,5,10,35.5,25.5,10,-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
47,"AB_16_NC_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"North_Carolina_E","North_Carolina","E",4,41,3,4,13,44,26.5,17.5,-2.82387817764868,4.21114639750153,-9.85361058869086,-5.01016433622286,31.4,304,37.75,53.5
48,"AB_16_VT_B","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont_B","Vermont","B",2,59,5,2,3,66.5,35,31.5,-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
49,"AB_16_VT_D","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont_D","Vermont","D",2,26,2,2,12,48,28.5,19.5,-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
50,"AB_16_VT_E","AB_16","AB","TN","Edge",35.53882,83.49534,1738,"Vermont_E","Vermont","E",3,62,5,3,6,45,34,11,-2.82387817764868,4.21114639750153,-3.44541897005897,-5.80837560984597,31.4,304,39.25,531.5
51,"AB_18_MD_A","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland_A","Maryland","A",4,32,3,4,4,41.5,29,12.5,-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
52,"AB_18_MD_B","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland_B","Maryland","B",6,52,4,6,10,48,30.5,17.5,-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
53,"AB_18_MD_C","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland_C","Maryland","C",3,66,5,3,10,38.5,24.5,14,-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
54,"AB_18_MD_E","AB_18","AB","TN","Edge",35.53945,83.49375,1769,"Maryland_E","Maryland","E",3,5,1,3,5,23,21.5,1.5,-2.88864662069922,4.35801758776731,-4.79104440324931,-3.53774746780395,31.3,308,36.4,282.5
