"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","Value","Trait"
"AB_05_VT_D","AB_05","AB","Edge",35.55297,83.49438,1812,"D","Vermont_D","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,554.55,"BudBreak"
"AB_05_MD_B","AB_05","AB","Edge",35.55297,83.49438,1812,"B","Maryland_B","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,683.5,"BudBreak"
"AB_05_VT_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","Vermont_E","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,591.2,"BudBreak"
"AB_05_MD_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","Maryland_E","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,669.6,"BudBreak"
"AB_05_NC_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","North_Carolina_E","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,725.5,"BudBreak"
"AB_05_VT_B","AB_05","AB","Edge",35.55297,83.49438,1812,"B","Vermont_B","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,591.2,"BudBreak"
"AB_05_MD_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","Maryland_A","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,665.65,"BudBreak"
"AB_05_VT_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","Vermont_A","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,568.5,"BudBreak"
"AB_05_NC_C","AB_05","AB","Edge",35.55297,83.49438,1812,"C","North_Carolina_C","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,750.9,"BudBreak"
"AB_05_MD_D","AB_05","AB","Edge",35.55297,83.49438,1812,"D","Maryland_D","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,662.4,"BudBreak"
"AB_05_VT_C","AB_05","AB","Edge",35.55297,83.49438,1812,"C","Vermont_C","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,523.95,"BudBreak"
"AB_05_NC_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","North_Carolina_A","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,750.9,"BudBreak"
"AB_05_MD_C","AB_05","AB","Edge",35.55297,83.49438,1812,"C","Maryland_C","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,642.5,"BudBreak"
"AB_08_VT_A","AB_08","AB","Edge",35.55212,83.49259,1785,"A","Vermont_A","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,538.3,"BudBreak"
"AB_08_VT_B","AB_08","AB","Edge",35.55212,83.49259,1785,"B","Vermont_B","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,568.5,"BudBreak"
"AB_08_MD_B","AB_08","AB","Edge",35.55212,83.49259,1785,"B","Maryland_B","Maryland",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5,657.5,"BudBreak"
"AB_08_MD_D","AB_08","AB","Edge",35.55212,83.49259,1785,"D","Maryland_D","Maryland",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5,662.4,"BudBreak"
"AB_08_VT_D","AB_08","AB","Edge",35.55212,83.49259,1785,"D","Vermont_D","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,554.55,"BudBreak"
"AB_08_VT_C","AB_08","AB","Edge",35.55212,83.49259,1785,"C","Vermont_C","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,538.3,"BudBreak"
"AB_08_MD_C","AB_08","AB","Edge",35.55212,83.49259,1785,"C","Maryland_C","Maryland",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5,674.8,"BudBreak"
"AB_08_NC_C","AB_08","AB","Edge",35.55212,83.49259,1785,"C","North_Carolina_C","North_Carolina",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5,595.95,"BudBreak"
"AB_08_MD_E","AB_08","AB","Edge",35.55212,83.49259,1785,"E","Maryland_E","Maryland",-2.56260326653772,4.60439168053542,-4.79104440324931,-3.53774746780395,30.9,328,36.4,282.5,693.8,"BudBreak"
"AB_08_NC_E","AB_08","AB","Edge",35.55212,83.49259,1785,"E","North_Carolina_E","North_Carolina",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5,634.4,"BudBreak"
"AB_08_NC_A","AB_08","AB","Edge",35.55212,83.49259,1785,"A","North_Carolina_A","North_Carolina",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5,725.5,"BudBreak"
"AB_08_NC_D","AB_08","AB","Edge",35.55212,83.49259,1785,"D","North_Carolina_D","North_Carolina",-2.56260326653772,4.60439168053542,-9.85361058869086,-5.01016433622286,30.9,328,37.75,53.5,725.5,"BudBreak"
"AB_08_VT_E","AB_08","AB","Edge",35.55212,83.49259,1785,"E","Vermont_E","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,591.2,"BudBreak"
"AB_12_MD_B","AB_12","AB","Edge",35.5389,83.49463,1750,"B","Maryland_B","Maryland",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5,674.8,"BudBreak"
"AB_12_MD_C","AB_12","AB","Edge",35.5389,83.49463,1750,"C","Maryland_C","Maryland",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5,683.5,"BudBreak"
"AB_12_NC_D","AB_12","AB","Edge",35.5389,83.49463,1750,"D","North_Carolina_D","North_Carolina",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5,684.95,"BudBreak"
"AB_12_NC_C","AB_12","AB","Edge",35.5389,83.49463,1750,"C","North_Carolina_C","North_Carolina",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5,750.9,"BudBreak"
"AB_12_MD_A","AB_12","AB","Edge",35.5389,83.49463,1750,"A","Maryland_A","Maryland",-2.88169229291207,4.28490746365111,-4.79104440324931,-3.53774746780395,31.4,305,36.4,282.5,657.5,"BudBreak"
"AB_12_NC_A","AB_12","AB","Edge",35.5389,83.49463,1750,"A","North_Carolina_A","North_Carolina",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5,684.95,"BudBreak"
"AB_12_VT_E","AB_12","AB","Edge",35.5389,83.49463,1750,"E","Vermont_E","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,523.95,"BudBreak"
"AB_12_VT_B","AB_12","AB","Edge",35.5389,83.49463,1750,"B","Vermont_B","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,591.2,"BudBreak"
"AB_12_VT_A","AB_12","AB","Edge",35.5389,83.49463,1750,"A","Vermont_A","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,568.5,"BudBreak"
"AB_12_NC_B","AB_12","AB","Edge",35.5389,83.49463,1750,"B","North_Carolina_B","North_Carolina",-2.88169229291207,4.28490746365111,-9.85361058869086,-5.01016433622286,31.4,305,37.75,53.5,750.9,"BudBreak"
"AB_12_VT_C","AB_12","AB","Edge",35.5389,83.49463,1750,"C","Vermont_C","Vermont",-2.88169229291207,4.28490746365111,-3.44541897005897,-5.80837560984597,31.4,305,39.25,531.5,591.2,"BudBreak"
