"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","cGDD","BudSet","Growth"
"AB_05_VT_D","AB_05","AB","Edge",35.55297,83.49438,1812,"D","Vermont_D","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,554.55,249,17
"AB_05_MD_B","AB_05","AB","Edge",35.55297,83.49438,1812,"B","Maryland_B","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,683.5,199,14.5
"AB_05_VT_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","Vermont_E","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,591.2,249,16.5
"AB_05_MD_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","Maryland_E","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,669.6,203,20
"AB_05_NC_E","AB_05","AB","Edge",35.55297,83.49438,1812,"E","North_Carolina_E","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,725.5,221,14
"AB_05_VT_B","AB_05","AB","Edge",35.55297,83.49438,1812,"B","Vermont_B","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,591.2,222,15.5
"AB_05_MD_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","Maryland_A","Maryland",-2.43917820409998,4.76418137372042,-4.79104440324931,-3.53774746780395,30.7,335,36.4,282.5,665.65,251,15
"AB_05_VT_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","Vermont_A","Vermont",-2.43917820409998,4.76418137372042,-3.44541897005897,-5.80837560984597,30.7,335,39.25,531.5,568.5,263,6
"AB_05_NC_C","AB_05","AB","Edge",35.55297,83.49438,1812,"C","North_Carolina_C","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,750.9,202,11
"AB_05_NC_A","AB_05","AB","Edge",35.55297,83.49438,1812,"A","North_Carolina_A","North_Carolina",-2.43917820409998,4.76418137372042,-9.85361058869086,-5.01016433622286,30.7,335,37.75,53.5,750.9,234,27.5
"AB_08_VT_A","AB_08","AB","Edge",35.55212,83.49259,1785,"A","Vermont_A","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,538.3,215,14
"AB_08_VT_B","AB_08","AB","Edge",35.55212,83.49259,1785,"B","Vermont_B","Vermont",-2.56260326653772,4.60439168053542,-3.44541897005897,-5.80837560984597,30.9,328,39.25,531.5,568.5,263,20.5
